District,Block,Total_Schools,Growth_Schools,Decline_Schools,Recovery_Schools,Volatile_Schools,Low_Continuity_Schools,Wide_Enroll_Spread_Schools,Girls_Declining_Schools,Avg_Growth_pct,Avg_Continuity_8_9,Avg_Girls_Ratio,Block_Zone,Priority_Action_Flag
BUDAUN,SAHASWAN CITY,1,1,0,0,1,0,0,0,112.5,570.34,1.0,GREEN,False
BUDAUN,SALARPUR,5,3,0,0,3,0,0,0,48.3,570.34,0.48,YELLOW,False
BUDAUN,SAMRER,2,0,1,1,1,0,0,1,-16.16,570.34,0.37,RED,True
BUDAUN,UJHANI,3,1,1,0,3,0,0,1,-29.44,570.34,0.491,RED,True
BUDAUN,USAWAN,1,0,0,1,1,0,0,1,-23.94,570.34,0.385,RED,True
BUDAUN,WAZEERGANJ,3,0,0,1,2,0,0,0,48.48,570.34,0.69,YELLOW,False
BULANDSHAHR,AGAUTA,1,1,0,0,1,0,0,0,127.78,570.34,0.512,GREEN,False
BULANDSHAHR,ANOOPSHAHAR,3,0,0,2,2,0,0,1,78.25,570.34,0.523,YELLOW,False
BULANDSHAHR,ARNIA,4,3,0,0,4,0,3,0,106.9,570.34,0.482,GREEN,False
BULANDSHAHR,B.B.NAGAR,2,0,0,1,1,0,0,1,30.26,570.34,0.845,YELLOW,False
BULANDSHAHR,BULANDSHAHR,6,0,0,3,0,0,1,3,3.88,570.34,0.529,YELLOW,False
BULANDSHAHR,BULANDSHAR NAGAR,2,0,0,1,1,0,0,0,22.5,570.34,0.5,YELLOW,False
BULANDSHAHR,DANPUR,5,2,0,2,3,0,0,2,38.32,570.34,0.616,YELLOW,False
BULANDSHAHR,DEBAI,6,2,0,3,4,0,0,1,27.3,570.34,0.797,YELLOW,False
BULANDSHAHR,GULAOTI,2,0,0,0,2,0,0,1,68.39,570.34,0.45,YELLOW,False
BULANDSHAHR,JAHAGIRABAD,3,1,0,2,3,0,0,0,70.34,570.34,0.561,YELLOW,False
BULANDSHAHR,KHURJA,2,2,0,0,1,0,0,0,408.73,570.34,0.546,GREEN,False
BULANDSHAHR,LAKHAWATI,2,1,0,0,1,0,0,0,20.75,570.34,0.703,YELLOW,False
BULANDSHAHR,PAHASU,4,2,0,1,2,0,0,0,118.58,570.34,0.709,YELLOW,False
BULANDSHAHR,SHIKARPUR,3,1,1,0,2,0,0,1,95.22,570.34,0.68,ORANGE,True
BULANDSHAHR,SIKANDRABAD,2,1,0,0,2,0,0,0,56.38,570.34,0.712,YELLOW,False
BULANDSHAHR,SYNA,1,0,0,0,1,0,0,0,104.0,570.34,0.725,YELLOW,False
BULANDSHAHR,UCHAGAON,3,1,0,1,3,0,0,1,46.25,570.34,0.458,YELLOW,False
CHANDAULI,BARAHANI,5,2,0,2,3,0,0,1,69.21,570.34,0.559,YELLOW,False
CHANDAULI,CHAHANIYA,1,1,0,0,1,0,0,0,62.75,570.34,0.53,GREEN,False
CHANDAULI,CHAKIYA,4,2,0,1,2,0,0,1,43.12,570.34,0.497,YELLOW,False
CHANDAULI,CHANDAULI,4,4,0,0,4,0,0,0,76.28,570.34,0.513,GREEN,False
