District,Block,Total_Declining_Schools,Most_Common_Reason
MUZAFFARNAGAR,MORNA,2,Migration/Population Shift
MUZAFFARNAGAR,PURKAJI,3,Migration/Population Shift
MUZAFFARNAGAR,SADAR,2,Higher Education Transition Issue
MUZAFFARNAGAR,SADAR [TOWN AREA],1,Economic/Child Labour
MUZAFFARNAGAR,SHAHPUR,1,Social/Gender Barrier
PILIBHIT,AMARIA,2,Migration/Population Shift
PILIBHIT,BARKHERA,1,Undetermined
PILIBHIT,BILSANDA,4,Higher Education Transition Issue
PILIBHIT,BISALPUR,1,Higher Education Transition Issue
PILIBHIT,LALORIKHERA,1,Social/Gender Barrier
PILIBHIT,MARORI,2,Social/Gender Barrier
PILIBHIT,N. P. PILIBHIT,2,Undetermined
PILIBHIT,PURANPUR,3,Higher Education Transition Issue
PRATAPGARH,BIHAR,1,Undetermined
PRATAPGARH,CITY(PRATAPGARH BELHA),2,Infrastructure/External Shock
PRATAPGARH,KALAKANKER,1,Infrastructure/External Shock
PRATAPGARH,LALGANJ,1,Infrastructure/External Shock
PRATAPGARH,LAXMANPUR,1,Higher Education Transition Issue
PRATAPGARH,MANDHATA,2,Higher Education Transition Issue
PRATAPGARH,PATTI,1,Higher Education Transition Issue
PRATAPGARH,SADWA-CHANDRIKA,1,Low Enrollment at Board Class Boundary
PRATAPGARH,SANGIPUR,1,Low Enrollment at Board Class Boundary
PRATAPGARH,SHIVGARH,1,Higher Education Transition Issue
PRAYAGRAJ,CHAKA,2,Migration/Population Shift
PRAYAGRAJ,HANDIA,1,Higher Education Transition Issue
PRAYAGRAJ,JASARA,1,Higher Education Transition Issue
PRAYAGRAJ,KORAON,1,Social/Gender Barrier
PRAYAGRAJ,MANDA,2,Migration/Population Shift
PRAYAGRAJ,NAGAR CHHETRA,2,Undetermined
PRAYAGRAJ,PHOOLPUR,1,Higher Education Transition Issue
PRAYAGRAJ,URUWA,1,Higher Education Transition Issue
RAE BARELI,AMAWAN,1,Higher Education Transition Issue
RAE BARELI,CHHATOH,1,Higher Education Transition Issue
RAE BARELI,GAURA,1,Undetermined
RAE BARELI,HARCHANDPUR,2,Higher Education Transition Issue
RAE BARELI,MAHRAJGANJ,2,Undetermined
RAE BARELI,NAGAR SHETRA (RBL),2,Undetermined
RAE BARELI,ROHANIYA,1,Social/Gender Barrier
RAE BARELI,SALON,2,Undetermined
RAE BARELI,SHIVGARH,1,Higher Education Transition Issue
RAMPUR,BILASPUR,5,Higher Education Transition Issue
RAMPUR,MILAK,1,Migration/Population Shift
RAMPUR,SHAHBAD,3,Economic/Child Labour
RAMPUR,SUAR,2,Undetermined
RAMPUR,TOWN AREA RAMPUR,5,Undetermined
SAHARANPUR,BALIA KHEDI,2,Higher Education Transition Issue
SAHARANPUR,DEOBAND,1,Social/Gender Barrier
SAHARANPUR,GANGOH,1,Higher Education Transition Issue
SAHARANPUR,MUZAFFARABAD,1,Higher Education Transition Issue
SAHARANPUR,NAGAL,1,Higher Education Transition Issue
SAHARANPUR,NAKUR,2,Economic/Child Labour
SAHARANPUR,NANAUTA,1,Higher Education Transition Issue
SAHARANPUR,PUNWARKA,2,Higher Education Transition Issue
SAHARANPUR,SADHOLI KADIM,1,Higher Education Transition Issue
SAMBHAL (BHIM NAGAR),ASMOLI,2,Higher Education Transition Issue
SAMBHAL (BHIM NAGAR),BANIYAKHERA,1,Higher Education Transition Issue
SANT KABIR NAGAR,BELHAR KALA,1,Higher Education Transition Issue
SANT KABIR NAGAR,HAINSAR BAZAR,1,Higher Education Transition Issue
SANT KABIR NAGAR,KHALILABAD,1,Higher Education Transition Issue
SANT KABIR NAGAR,PAULI,1,Higher Education Transition Issue
SANT KABIR NAGAR,SEMARINYAVA,3,Higher Education Transition Issue
SHAHJAHANPUR,BANDA,2,Social/Gender Barrier
SHAHJAHANPUR,BHAWALKHERA,1,Higher Education Transition Issue
SHAHJAHANPUR,DADRAUL,1,Social/Gender Barrier
SHAHJAHANPUR,JALALABAD,2,Higher Education Transition Issue
SHAHJAHANPUR,KALAN,1,Migration/Population Shift
SHAHJAHANPUR,KANTH,1,Higher Education Transition Issue
SHAHJAHANPUR,KHUTAR,1,Higher Education Transition Issue
SHAHJAHANPUR,NIGOHI,1,Higher Education Transition Issue
SHAHJAHANPUR,SINDHAULI,2,Higher Education Transition Issue
SHAMLI (PRABUDH NAGAR),KAIRANA,1,Undetermined
SHAMLI (PRABUDH NAGAR),KANDHLA,1,Social/Gender Barrier
SHAMLI (PRABUDH NAGAR),KANDHLA [TOWN AREA],1,Undetermined
SHAMLI (PRABUDH NAGAR),OON,1,Migration/Population Shift
SHRAWASTI,IKAUNA,1,Higher Education Transition Issue
SHRAWASTI,JAMUNHA,3,Higher Education Transition Issue
SIDDHARTHNAGAR,BHANVAPUR,1,Social/Gender Barrier
SIDDHARTHNAGAR,BIRDPUR,2,Social/Gender Barrier
SIDDHARTHNAGAR,DUMARIYAGANJ,1,Higher Education Transition Issue
SIDDHARTHNAGAR,ITAVA,1,Higher Education Transition Issue
SIDDHARTHNAGAR,JOGIYA,1,Higher Education Transition Issue
SIDDHARTHNAGAR,KHUNIYANV,1,Social/Gender Barrier
SITAPUR,BEHTA,2,Higher Education Transition Issue
SITAPUR,BISWAN,1,Higher Education Transition Issue
SITAPUR,GONDLAMAU,1,Higher Education Transition Issue
SITAPUR,MACHHAREHTA,1,Higher Education Transition Issue
SITAPUR,MAHMOODABAD,1,Undetermined
SITAPUR,MAHOLI,1,Higher Education Transition Issue
SITAPUR,N.K.BISWAN,1,Undetermined
SITAPUR,N.K.SITAPUR,2,Undetermined
SITAPUR,PISAWAN,1,Social/Gender Barrier
