District,Block,High_Risk_Count,Medium_Risk_Count,Low_Risk_Count,Total_Schools,Risk_Density_pct,Block_Zone
HARDOI,PIHANI,0,0,1,1,0.0,GREEN
HARDOI,SANDI,1,2,0,3,33.3,YELLOW
HARDOI,SANDILA,0,0,1,1,0.0,GREEN
HARDOI,SHAHABAD,1,0,2,3,33.3,ORANGE
HARDOI,SURSA,0,0,1,1,0.0,YELLOW
HARDOI,TANDIYAWA,0,3,2,5,0.0,YELLOW
HARDOI,TN.AR.  PIHANI,1,0,0,1,99.9,RED
HARDOI,TN.AR. HARDOI,0,1,1,2,0.0,YELLOW
HARDOI,TN.AR. SANDILA,0,0,2,2,0.0,YELLOW
HARDOI,TONDARPUR,2,2,1,5,40.0,ORANGE
HATHRAS,HASAYAN,1,1,1,3,33.3,YELLOW
HATHRAS,HATHRAS,1,1,0,2,50.0,RED
HATHRAS,MURSAN,0,1,1,2,0.0,GREEN
HATHRAS,N.P. HATHRAS,0,0,1,1,0.0,GREEN
HATHRAS,SADABAD,0,3,2,5,0.0,YELLOW
