District,Block,Cluster_Type,Total_Schools_In_Block,Declining_Schools,Growing_Schools,Recovery_Schools
GORAKHPUR,CAMPIARGANJ,Mixed Block,4,0,2,1
GORAKHPUR,CHARGANWA,Mixed Block,2,0,0,2
GORAKHPUR,GOLA,Mixed Block,1,0,0,1
GORAKHPUR,KAUDIRAM,Mixed Block,2,0,1,1
GORAKHPUR,KHAJNI,Mixed Block,2,1,0,1
GORAKHPUR,KHORABAR,Mixed Block,1,0,0,1
GORAKHPUR,NAGAR KSHETRA,Mixed Block,2,2,0,0
GORAKHPUR,PIPRAICH,Mixed Block,1,0,0,0
GORAKHPUR,PIPRAULI,Isolated Decline,1,1,0,0
GORAKHPUR,SAHJANWA,Mixed Block,2,1,0,0
GORAKHPUR,SARDARNAGAR,Mixed Block,1,0,0,0
HAMIRPUR (U.P.),GOHAND,Mixed Block,2,0,2,0
HAMIRPUR (U.P.),KURARA,Mixed Block,4,0,1,1
HAMIRPUR (U.P.),MAUDHA,Growth Pocket,4,0,3,1
HAMIRPUR (U.P.),MUSKARA,Mixed Block,4,0,1,2
HAMIRPUR (U.P.),NP HAMIRPUR,Mixed Block,2,1,0,0
HAMIRPUR (U.P.),NP MAUDAHA,Isolated Growth,1,0,1,0
HAMIRPUR (U.P.),NP RATH,Isolated Decline,1,1,0,0
HAMIRPUR (U.P.),RATH,Mixed Block,3,0,1,0
HAMIRPUR (U.P.),SARILA,Mixed Block,5,0,2,1
HAMIRPUR (U.P.),SUMERPUR,Mixed Block,5,1,1,1
HAPUR (PANCHSHEEL NAGAR),DHAULANA,Mixed Block,2,0,0,0
HAPUR (PANCHSHEEL NAGAR),GARH MUKTESWAR,Mixed Block,3,1,0,1
HAPUR (PANCHSHEEL NAGAR),HAPUR,Mixed Block,4,0,1,1
HAPUR (PANCHSHEEL NAGAR),SIMBHAWALI,Isolated Decline,5,1,2,2
HARDOI,AHIRORI,Mixed Block,4,0,2,2
HARDOI,BAWAN,Mixed Block,3,0,1,2
HARDOI,BEHANDAR,Mixed Block,1,0,0,0
HARDOI,BHARAWAN,Mixed Block,4,0,2,0
HARDOI,BHARKHANI,Mixed Block,3,1,0,2
HARDOI,BILGRAM,Isolated Decline,3,1,1,1
HARDOI,HARIYAWAN,Recovery Cluster,4,0,0,3
HARDOI,HARPALPUR,Mixed Block,1,0,0,0
HARDOI,KACHAUNA,Mixed Block,2,0,0,1
HARDOI,KOTHAWAN,Mixed Block,2,0,1,1
HARDOI,MADHOGANJ,Mixed Block,2,0,0,0
HARDOI,MALLAWA,Mixed Block,3,1,0,0
HARDOI,PIHANI,Isolated Growth,1,0,1,0
HARDOI,SANDI,Recovery Cluster,3,0,0,3
HARDOI,SANDILA,Isolated Growth,1,0,1,0
HARDOI,SHAHABAD,Mixed Block,3,1,0,1
HARDOI,SURSA,Mixed Block,1,0,0,0
HARDOI,TANDIYAWA,Recovery Cluster,5,0,1,3
HARDOI,TN.AR.  PIHANI,Isolated Decline,1,1,0,0
HARDOI,TN.AR. HARDOI,Mixed Block,2,0,0,1
HARDOI,TN.AR. SANDILA,Mixed Block,2,0,1,0
HARDOI,TONDARPUR,Recovery Cluster,5,0,0,4
