District,Block,Avg_Continuation_Ratio,Senior_Dropout_Schools,Senior_Collapse_Schools,Both_Growing_Schools
JYOTIBA PHULE NAGAR (AMROHA),DHANORA,17.5,0,4,0
JYOTIBA PHULE NAGAR (AMROHA),GAJRAULA,25.9,0,2,0
JYOTIBA PHULE NAGAR (AMROHA),GANGESHWARI,21.8,0,2,1
JYOTIBA PHULE NAGAR (AMROHA),HASANPUR,28.9,0,3,0
JYOTIBA PHULE NAGAR (AMROHA),HASANPUR CITY,77.2,0,0,0
JYOTIBA PHULE NAGAR (AMROHA),JOYA,59.0,0,0,1
KANNAUJ,CHHIBRAMAU,29.6,0,2,1
KANNAUJ,GUGRAPUR,0.0,0,2,0
KANNAUJ,HASERAN,0.0,0,1,0
KANNAUJ,JALALABAD,45.0,0,1,0
KANNAUJ,KANNAUJ,23.2,0,2,0
KANNAUJ,SAURIKH,0.0,0,2,0
KANNAUJ,TAL GRAM,46.0,0,1,1
KANNAUJ,UMARDA,35.1,0,2,0
KANPUR DEHAT,AKBARPUR,0.0,0,1,0
KANPUR DEHAT,AMARAUDHA,32.4,0,2,1
KANPUR DEHAT,DERAPUR,0.0,0,1,0
KANPUR DEHAT,JHINJHAK,43.7,0,2,0
KANPUR DEHAT,MAITHA,0.0,0,1,0
KANPUR DEHAT,MALASA,0.0,0,2,0
KANPUR DEHAT,RAJPUR,0.0,0,2,0
KANPUR DEHAT,RASULABAD,83.9,0,1,1
KANPUR DEHAT,SANDALPUR,0.0,0,1,0
KANPUR DEHAT,SARVANKHERA,19.2,0,1,0
KANPUR NAGAR,BHITERGAON,0.0,0,1,0
KANPUR NAGAR,BIDHNU,95.0,0,0,0
KANPUR NAGAR,BILHAUR,0.0,0,2,0
KANPUR NAGAR,CHAUBEPUR,0.0,0,1,0
KANPUR NAGAR,GHATAMPUR,24.3,0,2,0
KANPUR NAGAR,KAKWAN,0.0,0,1,0
KANPUR NAGAR,KALYANPUR,57.7,0,2,0
KANPUR NAGAR,PATARA,0.0,0,2,0
