District,Block,School_ID,School_Name,Overall_Growth_pct,Boys_Growth_pct,Girls_Growth_pct,C8_Change_pct,C9_Change_pct,C10_Change_pct,C11_Change_pct,C12_Change_pct,Gender_Driver,Class_Driver,Growth_Pattern_Tag,Model_School_Flag
GORAKHPUR,BELGHAT,9581700504,GOVT HIGH BARIGAON BELGHAT GKP,44.03,75.0,21.79,,34.21,56.9,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
MUZAFFARNAGAR,JANSATH,9021201906,GOVT INTER COLLEGE MEHALKI   MUZAFFARNAGAR,43.8,72.73,27.27,75.0,32.43,-10.26,210.0,63.16,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
SAHARANPUR,NAKUR,9010106501,GOVT. GIRL INTER COLLEGE NICHI NAKUR,43.04,68.0,31.48,,-15.0,12.0,73.68,133.33,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
BARABANKI,BANKI,9460407105,RAJKIYA U.M.V RASOOLPUR HOUSE,42.95,6.58,77.5,,67.14,23.26,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
FATEHPUR,TELIYANI,9420500305,Pt Deendayal Upadhyay Govt Model Inter College Aladatpur,42.79,38.27,45.83,,45.59,46.67,34.21,34.29,Girls-Led,Lower_Class_Growth,Girls-Led Lower Class Growth,True
AGRA,KHANDOLI,9151004506,RAJKIYA HIGH SCHOOL SAIMRA,42.64,66.0,27.85,,36.62,50.0,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
HAMIRPUR (U.P.),MAUDHA,9380305803,GOVT HS PATANPUR,42.35,57.89,29.79,,62.5,24.44,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
HARDOI,SHAHABAD,9251101211,GOVT. H.S.S. UDHARANPUR HARDOI,42.22,57.5,30.0,,48.08,34.21,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
RAE BARELI,RAHI,9280103203,PT DEEN DAYAL UPADHYAY MODEL INTER COLLEGE,42.11,52.73,32.2,155.56,33.96,-17.28,125.0,71.7,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
SAHARANPUR,NANAUTA,9010904804,RAJKIYA  HIGH SCHOOL KUWA KHERA,41.86,69.7,24.53,,37.21,46.51,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
SIDDHARTHNAGAR,NAUGARH,9541209304,RAJKEEY U.M.V. BASAUNI,41.61,25.33,61.29,,55.13,23.73,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
JALAUN,DAKOR,9350102306,PT DIN DAYAL UPDHAYAY GOVT MODEL I.C. KHAROOSA,41.01,58.18,29.76,-32.35,34.29,22.86,341.67,30.43,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
