District,Block,School_ID,School_Name,Alert_ID,Alert_Type,Severity,Current_Value,Threshold,Year_Triggered
BALLIA,NAGARA,9630204904,RAJKIY UPS JUDANPUR,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
BALLIA,NAGARA,9630204904,RAJKIY UPS JUDANPUR,W10,MULTI-RISK ENROLLMENT,CRITICAL,11,8,2025-26
BALLIA,NAGARA,9630210104,RAJKIYA UPS KHARUAV,W4,GIRLS ENROLLMENT DROP,HIGH,-14.6,-10,2025-26
BALLIA,NAGARA,9630210104,RAJKIYA UPS KHARUAV,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
BALLIA,NAGARA,9630210104,RAJKIYA UPS KHARUAV,W10,MULTI-RISK ENROLLMENT,CRITICAL,10,8,2025-26
BALLIA,PANDAH,9630604004,RAJKIYA UPS EKAIL,W1,ENROLLMENT CRASH,CRITICAL,-22.7,-20,2025-26
BALLIA,PANDAH,9630604004,RAJKIYA UPS EKAIL,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-54.5,-20,2025-26
BALLIA,PANDAH,9630604004,RAJKIYA UPS EKAIL,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
BALLIA,PANDAH,9630604004,RAJKIYA UPS EKAIL,W10,MULTI-RISK ENROLLMENT,CRITICAL,11,8,2025-26
BALLIA,RASARA,9630302508,RAJKIY BALIKA INTER COL. RASARA,W1,ENROLLMENT CRASH,CRITICAL,-22.1,-20,2025-26
BALLIA,RASARA,9630302508,RAJKIY BALIKA INTER COL. RASARA,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-22.1,-20,2025-26
BALLIA,REVATI,9631002204,RAJKIYA U M V RAJULI,W4,GIRLS ENROLLMENT DROP,HIGH,-13.3,-10,2025-26
BALLIA,SOHAWN,9631200117,G.G.I.C CHITBARAGAON,W2,ENROLLMENT DECLINE,HIGH,-10.6,-10,2025-26
BALLIA,SOHAWN,9631200117,G.G.I.C CHITBARAGAON,W4,GIRLS ENROLLMENT DROP,HIGH,-10.6,-10,2025-26
BALRAMPUR,SHRIDUTTGANJ,9521600304,GOVT HIGH SCHOOL DEVRIYA MUBARAKPUR,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
BALRAMPUR,SHRIDUTTGANJ,9521600304,GOVT HIGH SCHOOL DEVRIYA MUBARAKPUR,W10,MULTI-RISK ENROLLMENT,CRITICAL,8,8,2025-26
BALRAMPUR,UTRAULA (MUN. CORP.),9523000112,GOVT. GIRLS HIGHER SECONDARY SCHOOL,W2,ENROLLMENT DECLINE,HIGH,-15.7,-10,2025-26
BALRAMPUR,UTRAULA (MUN. CORP.),9523000112,GOVT. GIRLS HIGHER SECONDARY SCHOOL,W4,GIRLS ENROLLMENT DROP,HIGH,-15.7,-10,2025-26
BANDA,BADOKHAR KHURD,9400102204,GOVT HIGH SCH. HATHAUDA,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
BANDA,BISANDA,9400600610,G.G.I.C. KORRAHI,W1,ENROLLMENT CRASH,CRITICAL,-28.6,-20,2025-26
BANDA,BISANDA,9400600610,G.G.I.C. KORRAHI,W4,GIRLS ENROLLMENT DROP,HIGH,-10.6,-10,2025-26
BANDA,BISANDA,9400600610,G.G.I.C. KORRAHI,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
BANDA,JASPURA,9400800716,GOVT HIGH SCHOOL GADARIA,W2,ENROLLMENT DECLINE,HIGH,-12.6,-10,2025-26
BANDA,JASPURA,9400800716,GOVT HIGH SCHOOL GADARIA,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-21.4,-20,2025-26
BANDA,KAMASIN,9400700113,GGIC KAMASIN,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
BANDA,MAHUWA,9400306006,GOVT HIGH SCH. GUMAI,W2,ENROLLMENT DECLINE,HIGH,-14.5,-10,2025-26
BANDA,MAHUWA,9400306006,GOVT HIGH SCH. GUMAI,W4,GIRLS ENROLLMENT DROP,HIGH,-13.8,-10,2025-26
BANDA,MAHUWA,9400301604,GOVT. HIGH SCHOOL ADHRORI,W2,ENROLLMENT DECLINE,HIGH,-10.7,-10,2025-26
BANDA,NAGAR KSHETRA,9400900404,GIC BANDA,W7,GENDER DESERT,HIGH,0.0,0.2,2025-26
BANDA,NAGAR KSHETRA,9400902302,GOVT GILS INT COLLEGE BANDA,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
BANDA,NARAINI,9400405209,G.G.I.C. KARTAL,W2,ENROLLMENT DECLINE,HIGH,-15.9,-10,2025-26
BANDA,NARAINI,9400405209,G.G.I.C. KARTAL,W4,GIRLS ENROLLMENT DROP,HIGH,-11.3,-10,2025-26
BANDA,NARAINI,9400405209,G.G.I.C. KARTAL,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
